ID,Nama_Gorden,Deskripsi,Harga,Gaya,Warna,Bahan,Kategori_Harga,Image_Filename
1,PRO TEXTILE Vittrace Basic YS003-A,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS003-A,White,Vittrace Basic,100K-135K,1.jpg
2,PRO TEXTILE Vittrace Basic YS003-A,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS003-A,Cream,Vittrace Basic,100K-135K,2.jpg
3,PRO TEXTILE Vittrace Basic YS003-A,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS003-A,Gray,Vittrace Basic,100K-135K,3.jpg
4,PRO TEXTILE Vittrace Basic YS005,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS005,white,Vittrace Basic,100K-135K,4.jpg
5,PRO TEXTILE Vittrace Basic YS005,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS005,Cream,Vittrace Basic,100K-135K,5.jpg
6,PRO TEXTILE Vittrace Basic YS005,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS005,Gray,Vittrace Basic,100K-135K,6.jpg
7,PRO TEXTILE Vittrace Standar PV-1,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-1,White,Vittrace Standar,150K-165K,7.jpg
8,PRO TEXTILE Vittrace Standar PV-1,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-1,Cream,Vittrace Standar,150K-165K,8.jpg
9,PRO TEXTILE Vittrace Standar PV-2,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-2,white,Vittrace Standar,150K-165K,9.jpg
10,PRO TEXTILE Vittrace Standar PV-2,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-2,Cream,Vittrace Standar,150K-165K,10.jpg
